Abbriviation	Name	ICD-9 3-digits
AML_SNP	Acute myeloid leukemia	205
BLCA_SNP	Bladder cancer	188
BRCA_SNP	Breast cancer	174
CARC_SNP	Carcinoid	
CLL_SNP	Chronic lymphocytic leukemia	204
CRC_SNP	Colorectal cancer	153
DLBCL_SNP	Diffuse large B-cell lymphoma	
UCEC_SNP	Endometrial cancer	182
ESO_SNP	Esophageal adenocarcinoma	150
GBM_SNP	Glioblastoma multiforme	191
HNSC_SNP	Head and neck cancer	
KIRC_SNP	Kidney clear cell carcinoma	189
LUAD_SNP	Lung adenocarcinoma	
LUSC_SNP	Lung squamous cell carcinoma	
MED_SNP	Medulloblastoma	
MEL_SNP	Melanoma	172
MM_SNP	Multiple myeloma	203
NB_SNP	Neuroblastoma	194
OV_SNP	Ovarian cancer	183
PRAD_SNP	Prostate cancer	185
RHAB_SNP	Rhabdoid cancer	
