""	"Row.names"	"V2"	"c1"	"c2"	"adj.P.Val"	"P.Value"
"1"	"wgEncodeSydhTfbsH1hescZnf274m01UcdPk"	"H1-hESC ZNF274 (M01) UC Davis ChIP-seq Peaks from ENCODE/USC"	1.14908676849169e-07	-0.145563044599947	0.29015181335613	0.271772518844475
"2"	"wgEncodeSydhTfbsK562Setdb1MnasedUcdPk"	"K562 SETDB1 UC Davis MNaseD ChIP-seq Peaks from ENCODE/SYDH"	1.00844335108435e-07	-0.337133151777048	0.391060139326222	0.374613684868577
"3"	"wgEncodeSydhTfbsNt2d1Znf274UcdPk"	"NT2-D1 ZNF274 UC Davis ChIP-seq Peaks from ENCODE/SYDH"	2.47225140051304e-07	-0.180105455259897	0.278121739454306	0.259519301243244
"4"	"wgEncodeSydhTfbsGm08714Znf274UcdPk"	"GM08714 ZNF274 UC Davis ChIP-seq Peaks from ENCODE/SYDH"	3.31513198957685e-07	-0.172949671492169	0.304096601799608	0.286412894945217
"5"	"wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk"	"K562 TFBS Uniform Peaks of ZNF274_(M01) from ENCODE/USC/Analysis"	1.01320748322692e-06	-0.24238359811763	0.307438423771454	0.290039260640047
"6"	"wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk"	"GM08714 TFBS Uniform Peaks of ZNF274 from ENCODE/USC/Analysis"	9.34570975060867e-07	-0.342435405358253	0.292702562641859	0.274313668519499
"7"	"wgEncodeSydhTfbsGm12878Znf274StdPk"	"GM12878 ZNF274 Standard ChIP-seq Peaks from ENCODE/SYDH"	2.89610141667539e-06	-0.346756435317793	0.313815818051651	0.296544542499483
"8"	"wgEncodeSydhTfbsHepg2Znf274UcdPk"	"HEPG2 ZNF274 UC Davis ChIP-seq Peaks from ENCODE/SYDH"	5.83738727375237e-06	-0.262223795698061	0.294970125595217	0.27689822797308
"9"	"wgEncodeAwgTfbsSydhNt2d1Znf274UcdUniPk"	"NT2-D1 TFBS Uniform Peaks of ZNF274 from ENCODE/USC/Analysis"	5.79121414292962e-06	-0.348914309619586	0.239001622987314	0.220387789421324
"10"	"wgEncodeSydhTfbsK562Znf274UcdPk"	"K562 ZNF274 UC Davis ChIP-seq Peaks from ENCODE/SYDH"	7.45816555313331e-06	-0.333481103123384	0.298574627235505	0.280901985748046
"11"	"wgEncodeAwgTfbsSydhK562Kap1UcdUniPk"	"K562 TFBS Uniform Peaks of KAP1 from ENCODE/USC/Analysis"	5.99024399479576e-06	-0.506129677626708	0.415256093297065	0.398870079231345
